customer_id,total_transactions,fraud_transactions,total_amount_sent,fraud_amount,transaction_type,risk_tier
C1004068843,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
C1014298205,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
C1016892734,1,1,10000000.0,10000000.0,CASH_OUT,MEDIUM
C1028530067,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
C1036572575,1,1,10000000.0,10000000.0,CASH_OUT,MEDIUM
C1041060645,1,1,10000000.0,10000000.0,CASH_OUT,MEDIUM
C1045409609,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
C1046281837,1,1,10000000.0,10000000.0,CASH_OUT,MEDIUM
C1049094143,1,1,10000000.0,10000000.0,CASH_OUT,MEDIUM
C1057439889,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
C1058583308,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
C1066838925,1,1,10000000.0,10000000.0,CASH_OUT,MEDIUM
C1074619527,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
C1079335762,1,1,10000000.0,10000000.0,CASH_OUT,MEDIUM
C1086171385,1,1,10000000.0,10000000.0,CASH_OUT,MEDIUM
C108630257,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
C1096385925,1,1,10000000.0,10000000.0,CASH_OUT,MEDIUM
C1102554601,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
C1110953726,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
C1111699947,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
C1122738410,1,1,10000000.0,10000000.0,CASH_OUT,MEDIUM
C1131684691,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
C1162717928,1,1,10000000.0,10000000.0,CASH_OUT,MEDIUM
C1174163617,1,1,10000000.0,10000000.0,CASH_OUT,MEDIUM
C1178177971,1,1,10000000.0,10000000.0,CASH_OUT,MEDIUM
C1179529142,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
C1180822515,1,1,10000000.0,10000000.0,CASH_OUT,MEDIUM
C1186192171,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
C1198427314,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
C1208192074,1,1,10000000.0,10000000.0,TRANSFER,MEDIUM
