customer_id,type,amount,balance_before,balance_after,isFraud,balance_pattern,amount_equals_balance
C208486812,TRANSFER,57787800.93,42228.75,0.0,0,FULL WIPE ⚠️,NO
C1483754162,TRANSFER,51141938.17,310058.79,0.0,0,FULL WIPE ⚠️,NO
C539714486,TRANSFER,47504216.38,17047.14,0.0,0,FULL WIPE ⚠️,NO
C240100497,TRANSFER,45372634.63,5819.77,0.0,0,FULL WIPE ⚠️,NO
C1835360608,TRANSFER,42183808.56,266493.9,0.0,0,FULL WIPE ⚠️,NO
C2080983471,TRANSFER,38919599.87,40426.97,0.0,0,FULL WIPE ⚠️,NO
C1741076564,TRANSFER,38874009.46,435622.96,0.0,0,FULL WIPE ⚠️,NO
C2078977034,TRANSFER,38448653.52,172587.81,0.0,0,FULL WIPE ⚠️,NO
C2133858182,TRANSFER,37663153.97,1768.91,0.0,0,FULL WIPE ⚠️,NO
C102829469,TRANSFER,37387628.1,862621.88,0.0,0,FULL WIPE ⚠️,NO
C1442673049,TRANSFER,36550614.18,404101.57,0.0,0,FULL WIPE ⚠️,NO
C396524829,TRANSFER,36152874.77,82187.8,0.0,0,FULL WIPE ⚠️,NO
C394979337,TRANSFER,34973702.52,7964.09,0.0,0,FULL WIPE ⚠️,NO
C530613895,TRANSFER,34518571.97,24830.39,0.0,0,FULL WIPE ⚠️,NO
C549319079,TRANSFER,34305869.54,7560.89,0.0,0,FULL WIPE ⚠️,NO
C1543062100,TRANSFER,34206656.5,86829.83,0.0,0,FULL WIPE ⚠️,NO
C679754517,TRANSFER,34166523.26,148598.16,0.0,0,FULL WIPE ⚠️,NO
C2105773658,TRANSFER,33524665.3,18304.12,0.0,0,FULL WIPE ⚠️,NO
C14842210,TRANSFER,32585551.65,122474.16,0.0,0,FULL WIPE ⚠️,NO
C1184321735,TRANSFER,32572996.87,279467.23,0.0,0,FULL WIPE ⚠️,NO
C1512180588,TRANSFER,32520860.95,48757.63,0.0,0,FULL WIPE ⚠️,NO
C68612687,TRANSFER,31957701.91,74011.4,0.0,0,FULL WIPE ⚠️,NO
C1916107536,TRANSFER,31866120.39,503019.94,0.0,0,FULL WIPE ⚠️,NO
C830945111,TRANSFER,31520145.52,44976.57,0.0,0,FULL WIPE ⚠️,NO
C1340580782,TRANSFER,31485808.69,11589.02,0.0,0,FULL WIPE ⚠️,NO
C1387351988,TRANSFER,31232667.92,184039.96,0.0,0,FULL WIPE ⚠️,NO
C789446249,TRANSFER,31063924.16,7429.23,0.0,0,FULL WIPE ⚠️,NO
C1962578260,TRANSFER,31042952.58,7037.35,0.0,0,FULL WIPE ⚠️,NO
C807259089,TRANSFER,31034484.52,43278.38,0.0,0,FULL WIPE ⚠️,NO
C1182452240,TRANSFER,30620873.42,138404.76,0.0,0,FULL WIPE ⚠️,NO
