hour,total_transactions,fraud_count,fraud_amount,fraud_rate_pct
1,2708,16,3740247.01,0.5908
2,1014,8,4186592.48,0.789
3,552,4,66832.74,0.7246
4,565,10,26400274.9,1.7699
5,665,6,381841.54,0.9023
6,1660,22,974869.68,1.3253
7,6837,12,12414694.06,0.1755
8,21097,12,1589040.41,0.0569
9,37628,19,11476630.22,0.0505
10,35991,11,6935977.72,0.0306
11,37241,7,2589879.36,0.0188
12,36153,14,14576518.75,0.0387
13,37515,14,28794104.8,0.0373
14,41485,12,17247375.5,0.0289
15,44609,20,4648823.06,0.0448
16,42471,10,11763103.44,0.0235
17,43361,7,4323372.88,0.0161
18,49579,16,10512215.64,0.0323
19,51352,11,31410194.13,0.0214
20,40625,4,929279.76,0.0098
21,19152,5,1910536.98,0.0261
22,12635,23,11429114.24,0.182
23,6144,2,292254.2,0.0326
24,3216,6,2570053.96,0.1866
25,1598,18,8233325.96,1.1264
26,440,12,6980314.9,2.7273
27,41,8,5076953.26,19.5122
28,4,4,8647152.22,100.0
29,4,4,1217680.46,100.0
30,8,8,975200.92,100.0
31,12,12,12927128.04,100.0
32,12,12,9361820.08,100.0
33,23616,12,62990086.16,0.0508
34,30904,22,10074791.86,0.0712
35,29157,15,28974163.02,0.0514
36,39774,19,12872293.77,0.0478
37,34000,13,13887236.74,0.0382
38,31453,16,17970829.46,0.0509
39,23391,12,20914856.86,0.0513
40,34270,14,18491800.56,0.0409
41,36348,12,13273124.9,0.033
42,41304,14,25926526.46,0.0339
43,45060,13,3982938.35,0.0289
44,38523,8,5233198.54,0.0208
45,18500,16,38916438.66,0.0865
46,12445,14,24867267.58,0.1125
47,8681,21,11942126.21,0.2419
48,5693,10,15502430.1,0.1757
49,764,4,2270293.72,0.5236
50,6,6,3345118.94,100.0
51,14,14,8313333.94,100.0
52,8,8,19349931.92,100.0
53,10,10,12617901.54,100.0
54,4,4,3577598.36,100.0
55,12,12,4969150.82,100.0
56,18,18,21799570.76,100.0
57,6,6,3053734.92,100.0
58,20,20,40832628.86,100.0
59,20,20,25707837.72,100.0
60,12,12,5051824.6,100.0
61,14,14,10326374.76,100.0
62,8,8,4512316.56,100.0
63,8,8,4106789.76,100.0
64,18,18,14681327.96,100.0
65,20,20,16326827.82,100.0
66,24,24,43525991.12,100.0
67,6,6,2354600.56,100.0
68,18,18,29882358.08,100.0
69,20,20,41458369.28,100.0
70,6,6,2941247.94,100.0
71,20,20,13655351.44,100.0
72,14,14,59848379.22,100.0
73,8,8,2582474.42,100.0
74,22,22,33794195.06,100.0
75,8,8,5970615.06,100.0
76,4,4,4152727.08,100.0
77,10,10,35925500.0,100.0
78,10,10,11208144.9,100.0
79,10,10,6261606.14,100.0
80,10,10,2992622.6,100.0
81,10,10,10202118.94,100.0
82,10,10,35812474.28,100.0
83,12,12,10608310.4,100.0
84,16,16,36611285.98,100.0
85,14,14,25618937.12,100.0
86,18,18,53565564.56,100.0
87,6,6,2627321.58,100.0
88,8,8,34628042.4,100.0
89,6,6,2157581.12,100.0
90,16,16,20774510.34,100.0
91,8,8,4339885.1,100.0
92,10,10,3754118.76,100.0
93,4444,16,17239467.22,0.36
94,10372,12,14574168.34,0.1157
95,6858,14,26309623.62,0.2041
96,6350,4,36535521.0,0.063
97,685,10,10905909.48,1.4599
98,14,14,12891419.98,100.0
99,8,8,13044113.8,100.0
100,6,6,3013658.28,100.0
101,12,12,12062241.02,100.0
102,12,12,6442999.62,100.0
103,8,8,5482907.76,100.0
104,14,14,7764539.0,100.0
105,18,18,15487769.3,100.0
106,18,18,12407586.84,100.0
107,10,10,5062020.64,100.0
108,8,8,15526032.36,100.0
109,12,12,8388165.94,100.0
110,10,10,8845515.58,100.0
111,10,10,11801388.46,100.0
112,2,2,84837.7,100.0
113,6,6,3976999.1,100.0
114,4,4,7748974.38,100.0
115,10,10,7226221.72,100.0
116,14,14,16376396.78,100.0
117,12,12,13355288.92,100.0
118,12,12,33446321.98,100.0
119,5740,10,7143604.24,0.1742
120,3144,12,6495665.24,0.3817
121,1074,14,9846685.32,1.3035
122,414,14,15003065.74,3.3816
123,52,6,13972355.84,11.5385
124,4,4,22077380.04,100.0
125,10,10,18369419.18,100.0
126,6,6,14855403.24,100.0
127,14,14,22089204.56,100.0
128,8,8,15992485.52,100.0
129,21986,6,5241801.3,0.0273
130,32890,6,3435903.52,0.0182
131,36375,16,51400602.1,0.044
132,35936,10,17150389.72,0.0278
133,35147,10,4689421.22,0.0285
134,32391,10,35956235.2,0.0309
135,27556,8,1425274.0,0.029
136,30340,10,25158940.18,0.033
137,32559,12,15980105.26,0.0369
138,31422,4,1076311.7,0.0127
139,46054,4,773591.68,0.0087
140,37012,14,17079616.1,0.0378
141,16434,8,5532339.9,0.0487
142,12189,8,13332653.7,0.0656
143,7609,16,29783410.48,0.2103
144,3523,10,7010986.9,0.2838
145,1117,14,14281544.16,1.2534
146,522,10,17083347.98,1.9157
147,84,6,4298922.86,7.1429
148,12,12,10802770.02,100.0
149,22,22,42013551.06,100.0
150,14,14,14014584.44,100.0
151,18,18,10203595.36,100.0
152,6,6,5335020.24,100.0
153,19475,10,3798339.2,0.0513
154,29241,10,11189249.42,0.0342
155,29927,8,7393758.66,0.0267
156,27603,18,7466927.98,0.0652
157,29764,16,25721936.5,0.0538
158,27839,8,11549795.48,0.0287
159,27561,10,2873930.94,0.0363
160,27765,26,88872442.84,0.0936
161,33049,14,44869829.06,0.0424
162,40622,10,35038688.1,0.0246
163,46352,8,4425650.78,0.0173
164,39102,14,9819639.38,0.0358
165,16542,4,5334490.56,0.0242
166,12176,6,4116659.24,0.0493
167,7946,6,6258291.62,0.0755
168,3824,2,15027162.92,0.0523
169,1464,10,5548484.82,0.6831
170,529,16,37207453.82,3.0246
171,14,14,30834521.24,100.0
172,10,10,7312840.08,100.0
173,14,14,27327876.34,100.0
174,10,10,6161251.8,100.0
175,8,8,2700000.9,100.0
176,10,10,3362807.26,100.0
177,17336,18,6663945.3,0.1038
178,28204,14,18498899.46,0.0496
179,30534,8,4712979.0,0.0262
180,31481,10,36439112.2,0.0318
181,31749,11,6882774.86,0.0346
182,31900,8,5430241.72,0.0251
